nodename,nodeclass,describe,properties
"天津医科大学总医院","医院","天津医科大学总医院，位于天津市和平区鞍山道154号，始建于1946年，是一所三级综合性甲等医院。2018年12月4日，被国家卫健委公布为首批肿瘤多学科诊疗试点医院。2019年5月，天津医科大学总医院自愿参与DRG付费国家试点改革，将成为天津市首批DRG付费试点医院。","中文名称：天津医科大学总医院；组织形式：国有独资；创建时间：1946年；创建地点：天津市；总部所在地：天津市；产品服务：医疗、急救、康复、科研、教学；员工人数：919人；"
"国家卫健委","政府机构","中华人民共和国国家卫生健康委员会是根据党的十九届三中全会审议通过的《中共中央关于深化党和国家机构改革的决定》、《深化党和国家机构改革方案》和第十三届全国人民代表大会第一次会议批准的《国务院机构改革方案》设立。国家卫生健康委员会是国务院组成部门，为正部级。","中文名称：中华人民共和国国家卫生健康委员会；别称：国家卫生健康委员会；成立时间：2018年3月；主管部门：中华人民共和国国务院；主 任：马晓伟；"
"天津医科大学总医院","医院","天津医科大学总医院，位于天津市和平区鞍山道154号，始建于1946年，是一所三级综合性甲等医院。2018年12月4日，被国家卫健委公布为首批肿瘤多学科诊疗试点医院。2019年5月，天津医科大学总医院自愿参与DRG付费国家试点改革，将成为天津市首批DRG付费试点医院。","中文名称：天津医科大学总医院；组织形式：国有独资；创建时间：1946年；创建地点：天津市；总部所在地：天津市；产品服务：医疗、急救、康复、科研、教学；员工人数：919人；"
"北京大学国际医院","医院","北京大学国际医院位于（北京市昌平区中关村生命科学园）北京大学医疗城内，是北大医疗城的旗舰项目。该医院以“建设国际一流医院，领跑医疗体制改革”为使命，由北京大学和方正集团共同投资兴建 ，是目前国内最大的由社会资本投资的非营利性综合医院。作为北大医学部第九家附属医院，北京大学国际医院在医疗、教学和科研方面得到了北京大学医学部及其附属医院系统的大力支持，并力图整合资源，传承和创新北医系统的学科优势，提供优质的医疗服务与就医环境，满足民众日益提高的医疗服务需求，并建立与国际接轨的中国医院管理模式与标准。北京大学国际医院占地面积298亩，总建筑面积44万平方米，其中，医疗建筑面积约32万平米，为亚洲最大的单体医疗建筑之一。医院总投资45亿元，核准床位数1800张，设有36个中心、49个学科。其中，将重点发展心血管中心、肿瘤血液中心、眼科中心、妇儿中心、神经科学中心、泌尿外科中心以及肾脏疾病中心。现任院长陈仲强","中文名称：北京大学国际医院；外文名：Peking University International Hospital；所在地区：北京市昌平区；建院年份：2006年；医院类型：综合医院；医院等级：三级；科室数量：49；病床数量：1800张；是否医保：是；主管部门：北京市卫生和计划生育委员会；"
"南方医科大学南方医院","医院","南方医科大学南方医院创建于1941年，2004年8月随第一军医大学整体移交广东省，是南方医科大学（原第一军医大学）第一附属医院、第一临床医学院，是一所集医疗、教学、科研和预防保健为一体的大型综合性三级甲等医院，全国首批百佳医院。","中文名称：南方医科大学南方医院；医院性质：国营；所在地区：广东；院长姓名：李文源；建院年份：1941年；医院类型：综合医院；医院等级：三级甲等；联系地址：广州大道北1838号南方医科大学；经济类型：国有；医院院训：以人为本，生命至上；经营性质：非营利性医疗机构；"
"福州儿童医院","医院","福州儿童医院创建于1986年6月，是一所专科医院。",""
"广州呼吸疾病研究所","医院","广州呼吸疾病研究所（简称呼研所）全称广州医科大学第一附属医院，始建于1979年，位于美丽的珠江岸边，是国内成立最早的呼吸疾病研究所。","中文名称：广州呼吸疾病研究所；医院别名：广州医学院第一附属医院；建院年份：1979年；联系地址：广州市越秀区沿江西路151号；简称：呼研所；所长：钟南山院士；"
"黎毅敏","人物","黎毅敏，男， 教授、主任医师，博士研究生导师，广州医学院第一附属医院副院长，英东广州重症监护医学中心主任，中华医学会重症医学会委员、广东省危重医学分会副主委及省危重病专家委员会副主任，中国医师协会呼吸病学分会副主任委员，广东省医学会结核病学分会和循证医学分会的常委。","中文名：黎毅敏；性别：男；民族：汉族；国籍：中国；出生地：中国广州；主要成就：广州医学院第一附属医院常务副院长；代表作品：中国危重症医学学会委员；职业：1992.10-2001 广州医学院第一附属医院广州呼吸疾病研究所 副主任医师；获得荣誉：机械通气撤机策略与方法；籍贯：教授、主任医师；"
"吴思敏","人物","吴思敏，女，江苏卫视《非常了得》节目嘉宾，因为参加这个节目而在网络上走红。","中文名：吴思敏；出生地：浙江；国籍：中国；"
"广州医学院","大学","广州医科大学（Guangzhou Medical University）位于广东省广州市，是一所以医学为优势和特色的广州市属重点高校，为教育部“卓越医生教育培养计划”试点高校、国家“特色重点学科项目”建设高校、国家建设高水平大学公派研究生项目实施高校、广东省高水平大学重点学科建设高校、广东省本科教育国际化办学改革试点单位、承担中国政府奖学金来华留学生培养任务院校、中俄医科大学联盟成员高校，是具有研究生推免资格的学校。学校于1958年6月经广州市人民委员会批准设立，原名广州医学院。1970年12月，更名为广州市医科学校。1973年6月，恢复广州医学院名称。2013年4月，经教育部批准更名为广州医科大学。根据2017年7月学校官网显示，学校共有2个校区：番禺校区、越秀校区，总占地面积410202.38平方米，教学科研仪器设备总值55230.71万元。截至2019年5月，学校下设21个学院，7所直属医院和10所非直属附属医院，22个研究机构，1个国家临床医学研究中心；拥有1个国家重点实验室，9个省部级重点实验室，22个市（厅）级重点实验室；开设本科招生专业20个；建有博士后科研流动站1个，一级学科博士学位授权点2个，一级学科硕士学位授权点8个，硕士专业学位授权点5个，独立二级学科硕士授权点1个；有全日制本科生和研究生约11000人；有博士研究生导师419人，硕士研究生导师1044人。","中文名：张家口农业高等专科学校；外文名：zhangjiakou agricultural college；学校类别：公立大学；主要院系：设21个专业；"
"黎江","人物","黎江，女，中央人民广播电台播音指导。长年担任中央台《新闻和报纸摘要》、《全国新闻联播》等重要新闻节目的主播。",""
"王玉丽","人物","别名：兰兰 血型：B型 生肖：龙""院长",,"院长，这一称呼泛指以院为名称的单位的主管人员，一般是某种单位的法定责任人，例如，法院的“院长”，医院的“院长”，敬老院的“院长”等。","名称：院长；拼音：yuàn zhǎng；出处：《唐国史补》；释义：以“院”为名称的单位的主管人员；例句：法院、医院院长；地位：某种单位的法定责任人；"
"方向明","人物","方向明，女，汉族，1966年10月生，浙江宁波人。1993年12月加入九三学社。教育部长江特聘教授，国家杰出青年科学基金获得者，中华医学会麻醉学分会常委、中国医师协会麻醉学医师分会副会长。九三学社第十四届中央委员会委员。现任浙江大学医学院副院长，浙江大学医学院附属第一医院城站院区麻醉科主任，浙江省政协委员，九三学社浙江省委副主委、浙江大学委员会副主委。","中文名：方向明；出生日期：1966年10月；出生地：浙江宁波；民族：汉族；毕业院校：德国波恩大学；所获荣誉：TWAS-TWOWS亚洲青年女科学家奖；"
"李德富","人物","李德富教授（Prof Khaled Ben Letaief），香港科技大学工学院院长。李教授现任电子及计算器工程学系讲座教授。他是通过全球招聘遴选而获委任，以接替现任工学院院长陈正豪教授的职务，陈教授曾任工学院院长达六年，是科大有史以来服务最长的院长。","中文名：李德富；性别：男；外文名：Prof Khaled Ben Letaief；国籍：中国；任职机构：香港科技大学工学院；获得荣誉：曾获颁科大最高殊荣的教学奖一祁敖卓越教学服务奖章；专业方向：电子及计算器工程；职务：院长；国外任教：澳洲墨尔本大学任教三年；"
