董小蕾同学就是我,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
中青校媒-辽宁,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）转载自@人民日报
南阳网信,:【痛心！#辽宁一民警牺牲在抗疫一线#
安徽音乐广播畅享895,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
大连54青年,:
福娃有话要说,:辽宁省高速铁路安全管理规定3月1日起施行http://t.cn/A67JUbbn
·-靈-·,:#辽宁新增3例确诊均为丹东病例#丹东辽宁省地级市中国海岸线的北端起点拥有，港口.铁路.公路.管道.机场.5种类型10处口岸1处中朝贸易区，是中国对朝贸易最大的口岸城市，是亚洲唯一一个同时拥有边境口岸机场高铁河港海港、高速公路的城市，丹东被誉为“中国最大最美的边境城市”是国家卫生城市国家园林城市中国优秀旅游城市全国双拥模范城市～丹东～早日康复
山西共青团,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
老代看世界,:每个时代都有白衣天使付出努力💪加油1910年10月，深秋时节，位于东北地区的海拉尔出现了鼠疫。由于公共卫生条件的落后，以及人们不具备防控鼠疫的常识，导致鼠疫沿着齐齐哈尔、哈尔滨等地，蔓延到黑龙江省、吉林省、辽宁省。鼠疫所到之处，造成大量人员疫毙，全家毙命者比比皆是。在短短5个月内，仅仅是报刊登载的疫毙人数，就达到了五六万人。东三省告急！东三省总督奏报朝廷，说疫情“如水泄地，似火燎原”。更危急的是，如果任由鼠疫蔓延到关内，将感染更多的地方、更多的人，变得一发不可收拾，给垂垂欲坠的清朝带来灭顶之灾。正如鲁迅先生所言：“我们从古以来，就有埋头苦干的人，有拼命硬干的人，有为民请命的人，有舍身求法的人，……虽是等于为帝王将相作家谱的所谓‘正史’，也往往掩不住他们的光耀，这就是中国的脊梁。”的确如此，中国几千年历史上，每到国家民族生死存亡的关键时刻，总是有人毅然挺身而出，力挽狂澜，度过难关。在这次东三省鼠疫之灾中，就有一名英勇之士站出来，经过一番艰苦奋战，最终扑灭了这场瘟疫。他叫伍连德。http://t.cn/R2WxaNQ
相山区政法委,【#辽宁省新增3例确诊均为丹东病例#，累计125例】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。#对2月12日后境外入丹东人员核酸检测#http://t.cn/A67K1P5x
澳亚卫视,:#澳亚【资讯】#【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
服务沈阳,:【#辽宁新增3例确诊均为丹东病例#全省累计确诊125例治愈出院103例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（辽沈晚报）
FM99香格里拉之声,:【#辽宁一民警牺牲在战疫一线#
蒸汽热浪夏日波,:#教师资格证面试成绩#辽宁省还不能查合格证明吗
新浪大连,:#行动的力量#【大连20人入选第二批辽宁工匠】近日，辽宁省人民政府印发文件，授予李喜涛等100人第二批“辽宁工匠”荣誉称号，并奖励每人10万元生活补贴。大连有20名高技能人才入选第二批“辽宁工匠”。他们分别是：王心勇、李长升、那馥、赵忠东、童松年、李茂东、刘军、牛喜文、马瑾超、张旭晨、许斌、王传升、段广游、马成忠、初永春、张如意、朱先波、荣征、陈兆海和金吉。
龙凤壶,:针对近期网报湖北各地区出现的城管执法问题。反应的情况经确认属实后。特殊期间特殊事件特殊处理，必须立即整改和从严处理。要一把问责制，负责制，落实到人头，连带责任。要官与民同罪且加追罪行。不要让党和人民承担骂名。#社会##湖北##湖北省人民政府##湖北省长##辽宁省人民政府##辽宁省政府纠风##湖北省新闻#
